timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,queue_length_change_30s,speed_change_30s,visible_occupancy_fraction,visible_bike_frac,visible_car_frac,visible_hgv_frac,visible_bus_frac
675,1i,150.0,22,0.3104,21,92.44,False,23.439999999999998,-1.1506,0.6162666666666666,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.0
680,1i,150.0,18,0.5987,15,92.44,False,10.959999999999994,-0.40480000000000005,0.6162666666666666,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0
685,1i,150.0,17,1.4424,15,92.44,False,4.0,1.0118999999999998,0.6162666666666666,0.47058823529411764,0.4117647058823529,0.11764705882352941,0.0
690,1i,150.0,18,1.7731,16,96.44,False,8.009999999999991,1.7262,0.6429333333333334,0.4444444444444444,0.3888888888888889,0.16666666666666666,0.0
695,1i,150.0,17,0.5949,16,96.44,False,8.009999999999991,-0.5382,0.6429333333333334,0.47058823529411764,0.35294117647058826,0.17647058823529413,0.0
700,1i,150.0,16,0.0,16,96.44,False,4.0,-0.9128,0.6429333333333334,0.5,0.375,0.125,0.0
705,1i,150.0,18,1.5387,16,96.44,False,4.0,1.2283,0.6429333333333334,0.5,0.3888888888888889,0.1111111111111111,0.0
710,1i,150.0,18,1.9177,14,100.44,False,8.0,1.319,0.6696,0.5,0.3333333333333333,0.16666666666666666,0.0
715,1i,150.0,16,1.2984,11,100.44,False,8.0,-0.1439999999999999,0.6696,0.5625,0.25,0.1875,0.0
720,1i,150.0,16,0.7208,10,100.44,False,4.0,-1.0522999999999998,0.6696,0.5625,0.25,0.1875,0.0
725,1i,150.0,18,2.2375,9,100.23,False,3.7900000000000063,1.6425999999999998,0.6682,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.0
730,1i,150.0,19,2.0925,10,43.84,False,-52.599999999999994,2.0925,0.2922666666666667,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.0
735,1i,150.0,19,1.1078,13,67.7,False,-28.739999999999995,-0.43090000000000006,0.45133333333333336,0.5263157894736842,0.21052631578947367,0.2631578947368421,0.0
740,1i,150.0,20,1.0514,17,79.52,False,-20.92,-0.8663000000000001,0.5301333333333333,0.55,0.2,0.25,0.0
745,1i,150.0,22,2.3131,19,86.44,False,-14.0,1.0147,0.5762666666666667,0.5,0.2727272727272727,0.22727272727272727,0.0
750,1i,150.0,22,0.5283,19,86.44,False,-14.0,-0.1925,0.5762666666666667,0.5,0.2727272727272727,0.22727272727272727,0.0
755,1i,150.0,22,0.0009,22,90.44,False,-9.790000000000006,-2.2365999999999997,0.6029333333333333,0.5,0.2727272727272727,0.22727272727272727,0.0
760,1i,150.0,22,0.0,22,90.44,False,46.599999999999994,-2.0925,0.6029333333333333,0.5,0.2727272727272727,0.22727272727272727,0.0
765,1i,150.0,23,0.7304,22,90.44,False,22.739999999999995,-0.37739999999999985,0.6029333333333333,0.4782608695652174,0.2608695652173913,0.2608695652173913,0.0
770,1i,150.0,21,2.2664,16,90.44,False,10.920000000000002,1.215,0.6029333333333333,0.5238095238095238,0.2857142857142857,0.19047619047619047,0.0
775,1i,150.0,19,1.4279,16,90.44,False,4.0,-0.8852,0.6029333333333333,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.0
780,1i,150.0,17,0.0,17,97.44,False,11.0,-0.5283,0.6496,0.5294117647058824,0.29411764705882354,0.17647058823529413,0.0
785,1i,150.0,19,1.4118,17,97.44,False,7.0,1.4109,0.6496,0.5263157894736842,0.2631578947368421,0.21052631578947367,0.0
790,1i,150.0,20,1.8093,18,110.17,False,19.730000000000004,1.8093,0.7344666666666667,0.5,0.3,0.2,0.0
795,1i,150.0,20,0.4665,18,110.15,False,19.710000000000008,-0.2639,0.7343333333333334,0.5,0.3,0.2,0.0
800,1i,150.0,18,0.0604,17,110.15,False,19.710000000000008,-2.206,0.7343333333333334,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.0
805,1i,150.0,20,2.765,14,110.15,False,19.710000000000008,1.3371000000000002,0.7343333333333334,0.4,0.4,0.2,0.0
810,1i,150.0,20,1.2652,13,114.15,False,16.710000000000008,1.2652,0.761,0.4,0.4,0.2,0.0
815,1i,150.0,20,0.535,14,114.15,False,16.710000000000008,-0.8767999999999999,0.761,0.4,0.4,0.2,0.0
820,1i,150.0,21,1.3084,14,63.9,False,-46.27,-0.5008999999999999,0.426,0.38095238095238093,0.42857142857142855,0.19047619047619047,0.0
825,1i,150.0,23,2.1918,19,99.6,False,-10.550000000000011,1.7253000000000003,0.6639999999999999,0.43478260869565216,0.391304347826087,0.17391304347826086,0.0
830,1i,150.0,23,0.6359,20,102.38,False,-7.77000000000001,0.5755,0.6825333333333333,0.43478260869565216,0.391304347826087,0.17391304347826086,0.0
835,1i,150.0,23,0.0094,23,106.19,False,-3.960000000000008,-2.7556000000000003,0.7079333333333333,0.43478260869565216,0.391304347826087,0.17391304347826086,0.0
840,1i,150.0,24,0.6052,23,106.15,False,-8.0,-0.6600000000000001,0.7076666666666667,0.4166666666666667,0.4166666666666667,0.16666666666666666,0.0
845,1i,150.0,25,1.0002,23,106.15,False,-8.0,0.46519999999999995,0.7076666666666667,0.44,0.4,0.16,0.0
850,1i,150.0,26,0.7058,23,106.15,False,42.25000000000001,-0.6026,0.7076666666666667,0.4230769230769231,0.38461538461538464,0.19230769230769232,0.0
855,1i,150.0,26,0.3424,25,110.15,False,10.550000000000011,-1.8494000000000002,0.7343333333333334,0.4230769230769231,0.38461538461538464,0.19230769230769232,0.0
860,1i,150.0,23,1.2175,18,110.15,False,7.77000000000001,0.5816,0.7343333333333334,0.4782608695652174,0.34782608695652173,0.17391304347826086,0.0
865,1i,150.0,20,1.4892,18,110.15,False,3.960000000000008,1.4798,0.7343333333333334,0.5,0.35,0.15,0.0
870,1i,150.0,20,1.0185,18,110.15,False,4.0,0.4133,0.7343333333333334,0.5,0.3,0.2,0.0
875,1i,150.0,20,0.6271,19,114.15,False,8.0,-0.3731,0.761,0.5,0.3,0.2,0.0
880,1i,150.0,20,0.9452,19,114.15,False,8.0,0.23940000000000006,0.761,0.55,0.3,0.15,0.0
885,1i,150.0,22,2.1455,19,114.15,False,4.0,1.8031000000000001,0.761,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.0
890,1i,150.0,21,0.871,16,114.15,False,4.0,-0.34650000000000003,0.761,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.0
895,1i,150.0,19,0.6217,14,121.15,False,11.0,-0.8675,0.8076666666666668,0.5789473684210527,0.2631578947368421,0.15789473684210525,0.0
900,1i,150.0,20,1.3987,14,121.15,False,11.0,0.3802000000000001,0.8076666666666668,0.55,0.3,0.15,0.0
905,1i,150.0,22,2.7219,13,121.15,False,7.0,2.0948,0.8076666666666668,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.0
910,1i,150.0,22,1.1993,14,125.03,False,10.879999999999995,0.2541,0.8335333333333333,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.0
915,1i,150.0,22,0.606,13,60.51,False,-53.64000000000001,-1.5395000000000003,0.4034,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.0
920,1i,150.0,22,0.2942,19,92.53,False,-21.620000000000005,-0.5768,0.6168666666666667,0.5454545454545454,0.3181818181818182,0.13636363636363635,0.0
