timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
720,4i,1,0.0,1.0,1.0
725,1i,3,16.5576,64.91,408.54
725,2i,6,2.259,23.08,130.89
725,3i,0,,,
725,4i,0,,,
730,1i,3,16.1681,59.43,287.25
730,2i,6,1.143,18.62,130.32
730,3i,0,,,
730,4i,0,,,
735,1i,3,12.1928,59.09,175.97
735,2i,6,0.4828,15.04,125.34
735,3i,0,,,
735,4i,0,,,
740,1i,4,14.5666,59.09,457.16
740,2i,6,0.168,15.04,120.23
740,3i,0,,,
740,4i,0,,,
745,1i,4,9.8609,12.32,322.58
745,2i,7,3.8381,15.04,402.27
745,3i,0,,,
745,4i,0,,,
750,1i,4,5.6526,9.0,193.67
750,2i,7,3.8077,15.04,268.34
750,3i,0,,,
750,4i,0,,,
755,1i,4,3.6206,9.0,110.96
755,2i,7,2.1248,15.04,167.64
755,3i,0,,,
755,4i,0,,,
760,1i,4,2.8543,9.0,59.09
760,2i,7,0.3537,15.04,131.9
760,3i,0,,,
760,4i,0,,,
765,1i,4,0.2306,9.0,59.09
765,2i,7,0.0,15.04,131.85
765,3i,0,,,
765,4i,0,,,
770,1i,3,2.7877,1.08,59.09
770,2i,7,0.3761,8.34,131.85
770,3i,0,,,
770,4i,0,,,
775,1i,1,0.0,59.09,59.09
775,2i,6,0.0,23.04,131.85
775,3i,1,26.8222,456.48,456.48
775,4i,0,,,
780,1i,1,0.0,59.09,59.09
780,2i,6,0.0,23.04,131.85
780,3i,1,26.1196,324.34,324.34
780,4i,0,,,
785,1i,1,0.0,59.09,59.09
785,2i,8,6.2894,23.04,383.1
785,3i,1,26.9006,190.35,190.35
785,4i,0,,,
790,1i,1,0.0,59.09,59.09
790,2i,8,6.1375,23.04,264.12
790,3i,1,18.8478,70.94,70.94
790,4i,0,,,
795,1i,1,0.0,59.09,59.09
795,2i,8,4.416,23.04,161.7
795,3i,1,6.4,13.52,13.52
795,4i,0,,,
800,1i,1,0.0,59.09,59.09
