timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,true_queue_length_m,true_queue_beyond_camera
375,1i,150.0,10,1.3686,9,31.05,False,4,4.5498,1.0,154.64,scenario_high_demand,train,development,0.5,-3.999999999999997,-1.1121,0.207,0.0,-111.02000000000004,0.0,14.0,True,,66.66666666666667,328.46400000000006,-0.1333333333333332,,31.05,False
380,1i,150.0,11,1.3978,9,31.05,False,5,8.412,1.0,455.54,scenario_high_demand,train,development,0.5,-8.16,-2.9584,0.207,1.0,25.510000000000048,0.0,19.0,True,,73.33333333333334,369.0192,-0.272,,31.05,False
385,1i,150.0,12,2.087,10,38.05,False,5,6.6853,1.0,321.4,scenario_high_demand,train,development,0.5,-0.8300000000000054,-2.3425,0.2536666666666666,2.0,24.31,0.0,24.0,True,,80.0,601.056,-0.0276666666666668,,38.05,False
390,1i,150.0,12,0.4081,10,38.05,False,5,5.5803,1.0,186.3,scenario_high_demand,train,development,0.5,37.04,-1.3544,0.2536666666666666,1.0,-251.42,1.0,4.0,False,5.0,80.0,117.5328,1.2346666666666666,,38.05,False
395,1i,150.0,14,2.4161,12,38.05,False,5,3.1364,1.0,81.49,scenario_high_demand,train,development,0.5,29.05,-0.2345999999999999,0.2536666666666666,1.0,-261.79,2.0,2.0,True,,93.33333333333334,811.8096,0.9683333333333332,,38.05,False
400,1i,150.0,14,0.5493,12,38.05,False,7,8.3613,1.0,483.3,scenario_high_demand,train,development,0.5,6.949999999999996,-0.14,0.2536666666666666,3.0,234.39,3.0,1.0,False,5.0,93.33333333333334,184.5648,0.2316666666666665,,38.05,False
405,1i,150.0,15,1.0971,14,42.05,False,7,7.6231,1.0,349.26,scenario_high_demand,train,development,0.5,10.999999999999996,-0.2715000000000001,0.2803333333333333,3.0,194.62,3.0,6.0,False,10.0,100.0,394.956,0.3666666666666665,,42.05,False
410,1i,150.0,10,1.4091,8,42.05,False,4,13.2342,17.01,216.04,scenario_high_demand,train,development,0.5,10.999999999999996,0.0113,0.2803333333333333,-1.0,-239.50000000000003,4.0,4.0,False,15.0,66.66666666666667,338.1840000000001,0.3666666666666665,,42.05,False
415,1i,150.0,10,4.2251,8,42.05,False,4,10.5627,17.01,102.01,scenario_high_demand,train,development,0.5,4.0,2.1381,0.2803333333333333,-1.0,-219.39,4.0,9.0,False,20.0,66.66666666666667,1014.024,0.1333333333333333,,42.05,False
420,1i,150.0,10,1.6911,8,42.05,False,4,4.2277,0.04,49.71,scenario_high_demand,train,development,0.5,4.0,1.283,0.2803333333333333,-1.0,-136.59,4.0,14.0,False,25.0,66.66666666666667,405.8640000000001,0.1333333333333333,,42.05,False
425,1i,150.0,10,1.5273,9,46.06,False,3,0.0166,17.01,46.06,scenario_high_demand,train,development,0.5,8.010000000000005,-0.8888,0.3070666666666666,-2.0,-35.42999999999999,4.0,19.0,False,30.0,66.66666666666667,366.552,0.2670000000000002,,46.06,False
430,1i,150.0,9,0.0,9,46.05,False,3,0.0,17.01,46.05,scenario_high_demand,train,development,0.5,8.0,-0.5493,0.307,-4.0,-437.25,4.0,24.0,False,35.0,60.0,0.0,0.2666666666666666,,46.05,False
435,1i,150.0,10,2.0434,9,46.05,False,3,0.0,17.01,46.05,scenario_high_demand,train,development,0.5,4.0,0.9463,0.307,-4.0,-303.21,5.0,4.0,False,40.0,66.66666666666667,490.41600000000005,0.1333333333333333,,46.05,False
440,1i,150.0,9,3.0128,6,46.05,False,3,0.0,17.01,46.05,scenario_high_demand,train,development,0.5,4.0,1.6037,0.307,-1.0,-169.99,6.0,2.0,False,45.0,60.0,650.7648,0.1333333333333333,,46.05,False
445,1i,150.0,9,4.2166,3,50.05,False,3,0.8772,11.02,46.05,scenario_high_demand,train,development,0.5,8.0,-0.0085000000000006,0.3336666666666666,-1.0,-55.96000000000001,7.0,1.0,False,50.0,60.0,910.7856,0.2666666666666666,,50.05,False
450,1i,150.0,9,2.4896,3,19.67,False,3,1.6616,5.13,40.84,scenario_high_demand,train,development,0.5,-22.379999999999995,0.7984999999999998,0.1311333333333333,-1.0,-8.869999999999997,7.0,6.0,False,55.0,60.0,537.7536,-0.7459999999999999,,19.67,False
455,1i,150.0,11,4.7221,7,34.48,False,3,0.1987,5.0,34.48,scenario_high_demand,train,development,0.5,-11.580000000000004,3.1948,0.2298666666666666,0.0,-11.580000000000004,0.0,4.0,True,,73.33333333333334,1246.6344000000004,-0.3860000000000002,,34.48,False
460,1i,150.0,11,2.2187,9,38.09,False,3,0.0039,5.0,34.05,scenario_high_demand,train,development,0.5,-7.959999999999994,2.2187,0.2539333333333333,0.0,-12.0,0.0,9.0,True,,73.33333333333334,585.7368000000001,-0.2653333333333331,,38.09,False
465,1i,150.0,12,1.3235,9,38.05,False,4,6.5171,5.0,430.08,scenario_high_demand,train,development,0.5,-8.0,-0.7199000000000002,0.2536666666666666,1.0,384.03,0.0,14.0,True,,80.0,381.168,-0.2666666666666666,,38.05,False
470,1i,150.0,12,0.7042,11,42.05,False,5,10.4421,5.0,480.3,scenario_high_demand,train,development,0.5,-4.0,-2.3086,0.2803333333333333,2.0,434.25,0.0,19.0,True,,80.0,202.8096,-0.1333333333333333,,42.05,False
475,1i,150.0,12,0.0102,11,42.05,False,5,9.7981,5.0,361.06,scenario_high_demand,train,development,0.5,-8.0,-4.2064,0.2803333333333333,2.0,315.01,0.0,24.0,True,,80.0,2.9376,-0.2666666666666666,,42.05,False
480,1i,150.0,14,2.0125,12,42.05,False,5,7.2081,5.0,243.37,scenario_high_demand,train,development,0.5,22.379999999999995,-0.4770999999999996,0.2803333333333333,2.0,202.53,1.0,4.0,False,5.0,93.33333333333334,676.2000000000002,0.7459999999999999,,42.05,False
485,1i,150.0,15,1.706,12,42.05,False,5,4.7321,5.0,124.96,scenario_high_demand,train,development,0.5,7.57,-3.0161,0.2803333333333333,2.0,90.48,2.0,2.0,True,,100.0,614.1600000000001,0.2523333333333333,,42.05,False
490,1i,150.0,15,0.9292,14,46.05,False,5,2.7876,5.0,46.05,scenario_high_demand,train,development,0.5,7.959999999999994,-1.2895,0.307,2.0,12.0,3.0,1.0,False,5.0,100.0,334.512,0.2653333333333331,,46.05,False
