timestamp,approach_edge,camera_range_m,visible_vehicle_count,visible_mean_speed_mps,visible_queue_count,visible_queue_length_m,queue_reaches_camera_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m,scenario_id,split,design_method,gps_penetration_rate_requested,visible_queue_length_m_change_30s,visible_mean_speed_mps_change_30s,visible_occupancy_fraction,probe_count_change_30s,probe_max_distance_to_stopline_m_change_30s,current_phase,phase_elapsed_s,is_green_for_approach,red_duration_s,estimated_density_k_veh_per_km,observed_flow_veh_per_hour,estimated_queue_front_propagation_m_per_s,estimated_hidden_queue_extension_m,q_u_cheng_veh_per_hour,k_cp1_cheng_veh_per_km,cheng_t_cp2_s,cheng_l_cp2_m,max_queue_length_cheng_m,cheng_t_cp3_s
260,1i,150.0,4,3.9807,3,23.04,False,1,0.9385,13.34,13.34,scenario_normal_balanced,train,development,0.11,4.0,3.9807,0.1536,-1.0,-140.28,6.0,2.0,False,40,26.666666666666668,382.1472,0.13333333333333333,,,,220.0,5.0026,,227.0
265,1i,150.0,6,6.8361,0,0.0,False,1,0.8635,1.47,1.47,scenario_normal_balanced,train,development,0.11,-19.04,-2.992800000000001,0.0,-1.0,-64.18,7.0,1.0,False,45,40.0,984.3984,-0.6346666666666666,,17.4014496,,265.0,1.4737,,227.0
270,1i,150.0,6,1.7865,4,9.04,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,-10.0,-2.7808,0.06026666666666666,0.0,-14.04,7.0,6.0,False,50,40.0,257.256,-0.3333333333333333,,17.4014496,,265.0,1.4737,,227.0
275,1i,150.0,6,0.0172,6,13.01,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,-10.040000000000001,0.0125,0.08673333333333333,0.0,-14.04,0.0,4.0,True,,40.0,2.4768,-0.3346666666666667,,17.4014496,,265.0,1.4737,,227.0
280,1i,150.0,7,3.3833,6,13.0,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,-10.04,3.3833,0.08666666666666667,0.0,-14.04,0.0,9.0,True,,46.66666666666667,568.3944000000001,-0.3346666666666666,,17.4014496,,265.0,1.4737,,227.0
285,1i,150.0,7,1.6448,6,13.0,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,-10.04,-3.0946999999999996,0.08666666666666667,0.0,-14.04,0.0,14.0,True,,46.66666666666667,276.32640000000004,-0.3346666666666666,,17.4014496,,265.0,1.4737,,227.0
290,1i,150.0,9,4.2086,6,13.0,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,-10.04,0.22789999999999955,0.08666666666666667,0.0,-12.34,0.0,19.0,True,,60.0,909.0576,-0.3346666666666666,,17.4014496,,265.0,1.4737,,227.0
295,1i,150.0,9,1.1468,7,13.0,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,13.0,-5.6893,0.08666666666666667,0.0,-0.47,0.0,24.0,True,,60.0,247.70880000000002,0.43333333333333335,,17.4014496,,265.0,1.4737,,227.0
300,1i,150.0,9,0.0022,9,20.01,False,1,0.0,1.0,1.0,scenario_normal_balanced,train,development,0.11,10.970000000000002,-1.7843,0.13340000000000002,0.0,0.0,1.0,4.0,False,0,60.0,0.4752,0.36566666666666675,,,,300.0,1.0011,,
305,1i,150.0,9,0.0,9,20.01,False,2,12.417,1.0,406.34,scenario_normal_balanced,train,development,0.11,7.000000000000002,-0.0172,0.13340000000000002,1.0,405.34,2.0,2.0,True,,60.0,0.0,0.2333333333333334,,,,300.0,1.0011,,
