timestamp,approach_edge,probe_count,probe_mean_speed_mps,probe_min_distance_to_stopline_m,probe_max_distance_to_stopline_m
585,3i,5,11.9524,1.0,456.03
585,4i,3,16.969,1.0,456.74
590,1i,8,5.3607,1.0,332.31
590,2i,4,8.8738,9.0,169.05
590,3i,5,8.6503,1.0,322.85
590,4i,3,14.2024,1.0,336.55
595,1i,7,3.6907,1.0,211.3
595,2i,4,5.0213,9.0,86.55
595,3i,5,6.0296,1.0,187.83
595,4i,3,9.557,1.0,216.5
600,1i,7,2.7741,1.0,98.4
600,2i,4,2.8835,9.0,20.89
600,3i,5,3.3905,1.0,76.75
600,4i,3,6.7965,1.0,101.22
605,1i,7,2.4436,1.0,36.72
605,2i,3,0.0,9.0,20.01
605,3i,5,1.3133,1.0,30.01
605,4i,3,3.9339,1.0,25.94
610,1i,7,3.7231,1.0,483.3
610,2i,3,0.0,9.0,20.01
610,3i,6,4.6324,1.0,483.3
610,4i,3,0.1718,1.0,13.71
615,1i,7,3.7012,1.0,356.1
615,2i,3,0.0,9.0,20.01
615,3i,6,4.4673,1.0,348.86
615,4i,3,0.0,1.0,13.71
620,1i,5,5.0224,13.0,229.84
620,2i,3,0.755,6.74,20.01
620,3i,6,4.5612,1.0,215.1
620,4i,3,0.0,1.0,13.71
625,1i,5,5.7444,1.0,110.95
625,2i,1,4.2526,5.27,5.27
625,3i,6,3.2238,1.0,95.56
625,4i,3,0.0,1.0,13.71
630,1i,6,6.8607,1.0,456.11
630,2i,1,0.0168,1.02,1.02
630,3i,7,4.6147,1.0,455.87
630,4i,5,9.0971,1.0,456.74
635,1i,6,4.5183,1.0,320.83
635,2i,1,0.0,1.0,1.0
635,3i,6,4.7523,1.0,335.28
635,4i,2,22.8638,320.71,358.65
640,1i,6,4.5335,1.0,186.43
640,2i,1,0.0,1.0,1.0
640,3i,5,10.1082,1.0,402.65
640,4i,2,22.9568,187.15,262.91
645,1i,6,3.094,1.0,68.31
645,2i,1,0.0,1.0,1.0
645,3i,5,10.0894,1.0,270.13
645,4i,2,17.5046,80.56,167.48
650,1i,6,0.9855,1.0,24.71
650,2i,1,0.0,1.0,1.0
650,3i,5,7.3728,1.0,138.72
650,4i,2,8.9192,41.07,82.83
655,1i,6,0.0002,1.0,24.71
655,2i,1,0.0,1.0,1.0
655,3i,4,4.2351,1.0,44.89
655,4i,2,5.571,19.94,41.01
660,1i,7,2.6783,1.0,398.73
660,2i,2,12.4483,1.0,383.39
660,3i,5,5.498,1.0,384.26
660,4i,3,6.458,1.0,399.18
665,1i,8,5.6423,1.0,430.52
665,2i,3,16.8108,1.0,431.14
665,3i,5,9.689,1.0,434.95
665,4i,4,11.346,1.0,429.96
670,1i,8,5.4938,1.0,296.54
670,2i,3,16.9549,1.0,296.88
670,3i,4,11.8791,1.0,339.75
670,4i,4,11.2748,1.0,296.3
675,1i,8,4.5808,1.0,179.66
675,2i,3,13.4738,1.0,162.5
675,3i,4,8.0668,1.0,243.75
675,4i,4,10.1446,1.0,176.37
680,1i,6,4.1601,1.0,90.28
680,2i,3,5.4928,1.0,59.19
680,3i,4,4.8576,1.0,157.26
680,4i,4,7.068,1.0,86.34
685,1i,7,6.0637,1.0,428.45
685,2i,2,0.0007,1.0,16.01
685,3i,5,7.3017,1.0,431.65
685,4i,4,2.9731,1.0,29.55
690,1i,7,7.7454,1.0,483.3
690,2i,3,8.3333,1.0,480.3
690,3i,5,6.4409,1.0,310.3
690,4i,4,0.0158,1.0,27.01
695,1i,7,7.8111,1.0,350.44
695,2i,3,8.0223,1.0,358.55
695,3i,5,5.3915,1.0,191.55
695,4i,4,0.0,1.0,27.01
700,1i,7,6.5192,1.0,214.61
700,2i,3,7.8795,1.0,237.25
700,3i,5,3.5373,1.0,84.16
700,4i,4,0.0,1.0,27.01
705,1i,7,2.7316,1.0,106.6
705,2i,3,7.8543,1.0,115.69
705,3i,5,0.9843,1.0,33.94
705,4i,4,0.0,1.0,27.01
710,1i,6,2.8613,1.0,46.76
710,2i,2,7.3105,16.0,29.48
710,3i,5,0.0055,1.0,31.01
710,4i,4,0.0,1.0,27.01
715,1i,6,8.3875,1.0,396.42
715,2i,3,8.0212,1.0,385.56
715,3i,6,4.5626,1.0,375.17
715,4i,6,7.161,1.0,398.18
720,1i,6,7.5508,1.0,300.61
720,2i,4,12.6716,1.0,376.63
720,3i,6,4.3645,1.0,241.75
720,4i,7,9.5098,1.0,383.92
725,1i,6,7.0561,1.0,208.24
725,2i,4,12.6045,1.0,243.17
725,3i,4,5.3544,12.0,117.52
725,4i,5,13.0545,23.01,268.11
730,1i,6,4.841,1.0,134.62
730,2i,4,9.8077,1.0,113.11
730,3i,4,2.0333,12.0,48.85
730,4i,5,10.0703,23.01,162.92
735,1i,6,1.7758,1.0,81.85
735,2i,4,3.4809,1.0,30.73
735,3i,4,0.0357,12.0,38.11
735,4i,4,6.3121,23.01,79.37
740,1i,7,4.1244,1.0,432.15
740,2i,5,5.665,1.0,428.9
740,3i,4,0.0,12.0,38.01
740,4i,5,8.203,0.78,430.04
745,1i,8,6.4163,1.0,430.65
745,2i,6,7.7294,1.0,435.53
745,3i,4,0.0,12.0,38.01
745,4i,4,6.7707,23.01,295.61
750,1i,8,6.4832,1.0,297.27
750,2i,6,7.7648,1.0,339.34
750,3i,4,0.0,12.0,38.01
750,4i,4,6.611,23.01,162.2
755,1i,8,4.9626,1.0,164.4
755,2i,6,5.7605,1.0,243.48
755,3i,4,0.2391,11.05,38.01
755,4i,4,4.4912,23.01,53.76
760,1i,8,2.3419,1.0,69.79
760,2i,6,3.1633,1.0,155.13
760,3i,3,2.9505,14.85,37.53
760,4i,4,2.9448,1.0,53.52
765,1i,9,3.6136,1.0,483.3
765,2i,7,5.6821,1.0,483.3
765,3i,4,7.5238,8.96,483.3
765,4i,5,4.5323,1.0,473.26
770,1i,7,7.0786,1.0,455.43
770,2i,5,12.1254,1.0,456.07
770,3i,4,6.5995,8.95,347.15
